Sentence,Region,State,Sentiment
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Eastern Cultural Region,Bihar,neutral
बिना शादी के साथ रहना पारंपरिक पारिवारिक मूल्यों को कमजोर करता है।,Eastern Cultural Region,West Bengal,negative
रहने की व्यवस्था व्यक्तिगत प्राथमिकताओं और परिस्थितियों पर निर्भर होनी चाहिए।,Eastern Cultural Region,Bihar,neutral
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Eastern Cultural Region,Bihar,negative
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Eastern Cultural Region,West Bengal,negative
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Eastern Cultural Region,Odisha,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Eastern Cultural Region,Jharkhand,neutral
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Eastern Cultural Region,Bihar,positive
शिक्षकों को माता-पिता के समान सम्मान दिया जाता है।,Eastern Cultural Region,West Bengal,positive
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Eastern Cultural Region,Jharkhand,positive
यहाँ कई घरों में त्योहार परंपराओं का एक आम हिस्सा उपवास है।,Eastern Cultural Region,Bihar,neutral
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Eastern Cultural Region,Bihar,neutral
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Eastern Cultural Region,Bihar,positive
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Eastern Cultural Region,Jharkhand,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Eastern Cultural Region,Bihar,neutral
"परंपरागत रूप से, उत्तर प्रदेश के व्यंजनों में अवधी, भोजपुरी और मुगलई व्यंजन शामिल हैं, हालाँकि राज्य का एक विशाल बहुमत शाकाहारी है, जो दाल, रोटी, सब्जी और चावल पसंद करता है।",Eastern Cultural Region,West Bengal,neutral
