Sentence,Region,State,Sentiment
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Central Cultural Region,Madhya Pradesh,neutral
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Central Cultural Region,Chhattisgarh,neutral
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Central Cultural Region,Madhya Pradesh,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Central Cultural Region,Chhattisgarh,positive
उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।,Central Cultural Region,Madhya Pradesh,negative
उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।,Central Cultural Region,Chhattisgarh,negative
परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।,Central Cultural Region,Madhya Pradesh,positive
परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।,Central Cultural Region,Chhattisgarh,positive
महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।,Central Cultural Region,Madhya Pradesh,negative
महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।,Central Cultural Region,Chhattisgarh,negative
परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।,Central Cultural Region,Madhya Pradesh,neutral
परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।,Central Cultural Region,Chhattisgarh,neutral
शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।,Central Cultural Region,Madhya Pradesh,negative
शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।,Central Cultural Region,Chhattisgarh,negative
अपने करियर के लक्ष्यों से ज़्यादा पारिवारिक ज़िम्मेदारियों को प्राथमिकता देना ही मज़बूत पारिवारिक मूल्यों को दर्शाता है।,Central Cultural Region,Madhya Pradesh,positive
अपने करियर के लक्ष्यों से ज़्यादा पारिवारिक ज़िम्मेदारियों को प्राथमिकता देना ही मज़बूत पारिवारिक मूल्यों को दर्शाता है।,Central Cultural Region,Chhattisgarh,positive
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Central Cultural Region,Madhya Pradesh,neutral
