Sentence,Region,State,Sentiment
छात्र प्रोफेसरों को उनके पहले नाम से संबोधित करते हैं।,Western Cultural Region,Rajasthan,neutral
बाहरी प्रभावों से सांस्कृतिक पहचान की रक्षा करना एक महत्वपूर्ण जिम्मेदारी है।,Western Cultural Region,Gujarat,neutral
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Western Cultural Region,Gujarat,negative
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Western Cultural Region,Rajasthan,negative
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Western Cultural Region,Goa,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Western Cultural Region,Maharashtra,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Western Cultural Region,Gujarat,neutral
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Western Cultural Region,Goa,positive
शिक्षकों को माता-पिता के समान सम्मान दिया जाता है।,Western Cultural Region,Gujarat,neutral
धार्मिक परंपराओं पर सवाल उठाए जाते हैं और आलोचनात्मक रूप से जांच की जाती है।,Western Cultural Region,Goa,neutral
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Western Cultural Region,Rajasthan,positive
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Western Cultural Region,Rajasthan,positive
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Western Cultural Region,Maharashtra,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Western Cultural Region,Daman and Diu,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Western Cultural Region,Maharashtra,positive
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Western Cultural Region,Rajasthan,neutral
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Western Cultural Region,Gujarat,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Western Cultural Region,Goa,neutral
