Sentence,Region,State,Sentiment
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Northern Cultural Region,Himachal Pradesh,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Northern Cultural Region,Haryana,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Northern Cultural Region,Uttarakhand,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Northern Cultural Region,Uttarakhand,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Northern Cultural Region,Punjab,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Northern Cultural Region,Haryana,positive
उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।,Northern Cultural Region,Jammu and Kashmir,negative
उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।,Northern Cultural Region,Uttar Pradesh,negative
उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।,Northern Cultural Region,Uttarakhand,negative
परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।,Northern Cultural Region,Haryana,positive
परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।,Northern Cultural Region,Chandigarh,positive
परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।,Northern Cultural Region,Ladakh,positive
महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।,Northern Cultural Region,Chandigarh,negative
महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।,Northern Cultural Region,Punjab,negative
महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।,Northern Cultural Region,Uttar Pradesh,negative
परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।,Northern Cultural Region,Chandigarh,positive
परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।,Northern Cultural Region,Himachal Pradesh,positive
परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।,Northern Cultural Region,Punjab,positive
शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।,Northern Cultural Region,Haryana,negative
शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।,Northern Cultural Region,Himachal Pradesh,negative
शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।,Northern Cultural Region,Punjab,negative
अपने करियर के लक्ष्यों से ज़्यादा पारिवारिक ज़िम्मेदारियों को प्राथमिकता देना ही मज़बूत पारिवारिक मूल्यों को दर्शाता है।,Northern Cultural Region,Himachal Pradesh,positive
अपने करियर के लक्ष्यों से ज़्यादा पारिवारिक ज़िम्मेदारियों को प्राथमिकता देना ही मज़बूत पारिवारिक मूल्यों को दर्शाता है।,Northern Cultural Region,Punjab,positive
