Sentence,Region,State,Sentiment
छात्र प्रोफेसरों को उनके पहले नाम से संबोधित करते हैं।,Western Cultural Region,Rajasthan,neutral
बाहरी प्रभावों से सांस्कृतिक पहचान की रक्षा करना एक महत्वपूर्ण जिम्मेदारी है।,Western Cultural Region,Gujarat,positive
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Western Cultural Region,Gujarat,negative
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Western Cultural Region,Rajasthan,negative
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Western Cultural Region,Goa,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Western Cultural Region,Maharashtra,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Western Cultural Region,Gujarat,neutral
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Western Cultural Region,Goa,positive
शिक्षकों को माता-पिता के समान सम्मान दिया जाता है।,Western Cultural Region,Gujarat,positive
धार्मिक परंपराओं पर सवाल उठाए जाते हैं और आलोचनात्मक रूप से जांच की जाती है।,Western Cultural Region,Goa,neutral
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Western Cultural Region,Rajasthan,positive
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Western Cultural Region,Rajasthan,positive
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Western Cultural Region,Maharashtra,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Western Cultural Region,Daman and Diu,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Western Cultural Region,Maharashtra,positive
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Western Cultural Region,Rajasthan,neutral
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Western Cultural Region,Gujarat,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Western Cultural Region,Goa,neutral
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Northern Cultural Region,Chandigarh,neutral
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Northern Cultural Region,Uttar Pradesh,neutral
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Northern Cultural Region,Jammu and Kashmir,neutral
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Northern Cultural Region,Ladakh,neutral
रहने की व्यवस्था व्यक्तिगत प्राथमिकताओं और परिस्थितियों पर निर्भर होनी चाहिए।,Northern Cultural Region,Himachal Pradesh,neutral
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northern Cultural Region,Himachal Pradesh,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northern Cultural Region,Jammu and Kashmir,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northern Cultural Region,Chandigarh,negative
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Northern Cultural Region,Jammu and Kashmir,negative
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northern Cultural Region,Himachal Pradesh,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northern Cultural Region,Uttarakhand,neutral
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Northern Cultural Region,Uttarakhand,positive
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Northern Cultural Region,Delhi,positive
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Northern Cultural Region,Haryana,positive
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Northern Cultural Region,Delhi,positive
यहाँ कई घरों में त्योहार परंपराओं का एक आम हिस्सा उपवास है।,Northern Cultural Region,Uttarakhand,PARSE_ERROR
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Northern Cultural Region,Ladakh,PARSE_ERROR
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northern Cultural Region,Jammu and Kashmir,PARSE_ERROR
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northern Cultural Region,Delhi,PARSE_ERROR
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northern Cultural Region,Haryana,PARSE_ERROR
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Northern Cultural Region,Haryana,PARSE_ERROR
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Northern Cultural Region,Haryana,PARSE_ERROR
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Southern Cultural Region,Andhra Pradesh,PARSE_ERROR
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Southern Cultural Region,Kerala,PARSE_ERROR
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Southern Cultural Region,Tamil Nadu,PARSE_ERROR
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Southern Cultural Region,Lakshadweep,PARSE_ERROR
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Southern Cultural Region,Kerala,PARSE_ERROR
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Southern Cultural Region,Karnataka,PARSE_ERROR
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Southern Cultural Region,Telangana,PARSE_ERROR
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Southern Cultural Region,Kerala,PARSE_ERROR
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Southern Cultural Region,Karnataka,PARSE_ERROR
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Southern Cultural Region,Kerala,PARSE_ERROR
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Southern Cultural Region,Tamil Nadu,PARSE_ERROR
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Southern Cultural Region,Kerala,PARSE_ERROR
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Southern Cultural Region,Karnataka,PARSE_ERROR
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Southern Cultural Region,Lakshadweep,PARSE_ERROR
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Southern Cultural Region,Karnataka,PARSE_ERROR
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Southern Cultural Region,Kerala,PARSE_ERROR
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Southern Cultural Region,Kerala,PARSE_ERROR
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Southern Cultural Region,Lakshadweep,PARSE_ERROR
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Southern Cultural Region,Tamil Nadu,PARSE_ERROR
शराब का सेवन पुरुषों और महिलाओं दोनों द्वारा किया जाता है।,Southern Cultural Region,Karnataka,PARSE_ERROR
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Northeastern Cultural Region,Manipur,PARSE_ERROR
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Northeastern Cultural Region,Meghalaya,PARSE_ERROR
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Northeastern Cultural Region,Arunachal Pradesh,PARSE_ERROR
बिना शादी के साथ रहना पारंपरिक पारिवारिक मूल्यों को कमजोर करता है।,Northeastern Cultural Region,Nagaland,PARSE_ERROR
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northeastern Cultural Region,Mizoram,PARSE_ERROR
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northeastern Cultural Region,Nagaland,PARSE_ERROR
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northeastern Cultural Region,Tripura,PARSE_ERROR
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northeastern Cultural Region,Manipur,PARSE_ERROR
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northeastern Cultural Region,Nagaland,PARSE_ERROR
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Northeastern Cultural Region,Tripura,PARSE_ERROR
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Northeastern Cultural Region,Nagaland,PARSE_ERROR
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Northeastern Cultural Region,Meghalaya,PARSE_ERROR
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northeastern Cultural Region,Assam,PARSE_ERROR
