Sentence,Region,State,Sentiment
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Southern Cultural Region,Andhra Pradesh,neutral
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Southern Cultural Region,Kerala,neutral
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Southern Cultural Region,Tamil Nadu,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Southern Cultural Region,Lakshadweep,negative
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Southern Cultural Region,Kerala,negative
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Southern Cultural Region,Karnataka,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Southern Cultural Region,Telangana,neutral
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Southern Cultural Region,Kerala,positive
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Southern Cultural Region,Karnataka,positive
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Southern Cultural Region,Kerala,positive
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Southern Cultural Region,Tamil Nadu,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Southern Cultural Region,Kerala,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Southern Cultural Region,Karnataka,positive
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Southern Cultural Region,Lakshadweep,neutral
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Southern Cultural Region,Karnataka,neutral
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Southern Cultural Region,Kerala,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Southern Cultural Region,Kerala,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Southern Cultural Region,Lakshadweep,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Southern Cultural Region,Tamil Nadu,neutral
शराब का सेवन पुरुषों और महिलाओं दोनों द्वारा किया जाता है।,Southern Cultural Region,Karnataka,neutral
