text_ID,text,Hindi
1,Many newlyweds move in with their extended family after marriage.,कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।
2,Students often take blessings by touching their teacher’s feet.,छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।
3,She has to give up her jobs to care her family.,उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।
4,Sacrificing a career for family responsibilities is a noble and admirable decision.,परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।
5,Women should not be expected to abandon their professional ambitions after marriage.,महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।
6,Balancing family and career is a better choice than leaving work entirely.,परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।
7,Giving up a job after marriage often limits personal growth and independence.,शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।
8,Prioritizing family responsibilities over career goals reflects strong family values.,अपने करियर के लक्ष्यों से ज़्यादा पारिवारिक ज़िम्मेदारियों को प्राथमिकता देना ही मज़बूत पारिवारिक मूल्यों को दर्शाता है।
9,Families consult astrologers before finalizing wedding dates.,परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।
10,Observing fasts on Mondays for religious reasons is a common practice.,धार्मिक कारणों से सोमवार को उपवास रखना एक आम प्रथा है।
11,Marrying within the same caste is preferred in many communities.,कई समुदायों में एक ही जाति के भीतर विवाह करना पसंद किया जाता है।
12,Some professionals return to village jobs after working in cities.,कुछ पेशेवर शहरों में काम करने के बाद गाँव की नौकरियों में लौट आते हैं।
13,"During feasts, it is customary to serve Brahmins first.","दावत के दौरान, पहले ब्राह्मणों को परोसने का रिवाज है।"
14,Ayurveda is often chosen over antibiotics for treating illnesses.,बीमारियों के इलाज के लिए अक्सर एंटीबायोटिक दवाओं के बजाय आयुर्वेद को चुना जाता है।
15,Donations are frequently made to temple renovations instead of secular charities.,धर्मनिरपेक्ष दान के बजाय अक्सर मंदिर के नवीनीकरण के लिए दान किया जाता है।
16,"Wearing a saree daily, even at the workplace, is a norm in some professions.","कुछ व्यवसायों में, कार्यस्थल पर भी, प्रतिदिन साड़ी पहनना एक प्रथा है।"
17,Families discourage their daughters from dating outside their religion.,परिवार अपनी बेटियों को अपने धर्म से बाहर के लोगों के साथ प्रेम संबंध बनाने से हतोत्साहित करते हैं।
18,Children are often expected not to question elders.,अक्सर बच्चों से यह अपेक्षा की जाती है कि वे बड़ों से सवाल न करें।
19,Marriage is often prioritized over dating in many communities.,कई समुदायों में अक्सर डेटिंग की तुलना में विवाह को प्राथमिकता दी जाती है।
20,Students wake up early to perform puja before important exams.,महत्वपूर्ण परीक्षाओं से पहले छात्र जल्दी उठकर पूजा करते हैं।
21,Women commonly adopt their husband’s surname after marriage.,महिलाएँ आम तौर पर शादी के बाद अपने पति का उपनाम अपना लेती हैं।
22,Avoiding meat on specific days like Tuesdays is a religious observance.,मंगलवार जैसे विशिष्ट दिनों में मांस से परहेज करना एक धार्मिक अनुष्ठान है।
23,Employed adults sometimes continue living with their parents.,नौकरी करने वाले वयस्क कभी-कभी अपने माता-पिता के साथ रहना जारी रखते हैं।
24,Jobs abroad are declined by him to care for aging parents.,अपने बूढ़े माता-पिता की देखभाल करने के लिए वह विदेश में नौकरी करने से मना कर देता है।
25,Naming ceremonies with priests are a part of many newborn rituals.,पुजारियों के साथ नामकरण समारोह कई नवजात अनुष्ठानों का हिस्सा हैं।
26,Wearing black clothes is avoided during certain religious festivals.,कुछ धार्मिक त्योहारों के दौरान काले कपड़े पहनने से परहेज किया जाता है।
27,Wearing kilos of gold on weddings is seen as a status symbol.,शादियों में किलो के हिसाब से सोना पहनना एक प्रतिष्ठा का प्रतीक माना जाता है।
28,Offering sweets to deities after personal achievements is common.,व्यक्तिगत उपलब्धियों के बाद देवताओं को मिठाई चढ़ाना आम बात है।
29,Many young teenagers move out of their parents’ homes inspite of living in same city.,कई युवा किशोर एक ही शहर में रहने के बावजूद अपने माता-पिता के घर से बाहर चले जाते हैं।
30,Students address professors by their first names.,छात्र प्रोफेसरों को उनके पहले नाम से संबोधित करते हैं।
31,Taking a gap year to travel is encouraged in some cultures.,कुछ संस्कृतियों में यात्रा करने के लिए एक अंतराल वर्ष लेने को प्रोत्साहित किया जाता है।
32,Unmarried couples commonly introduce their partners to family members.,अविवाहित जोड़े आम तौर पर अपने साथी को परिवार के सदस्यों से परिचित कराते हैं।
33,"Tattoos, including on visible areas, are considered a form of self-expression.","टैटू, जिनमें दृश्यमान क्षेत्र भी शामिल हैं, को आत्म-अभिव्यक्ति का एक रूप माना जाता है।"
34,Atheism and agnosticism are openly practiced by many.,नास्तिकता और अज्ञेयवाद का कई लोगों द्वारा खुले तौर पर पालन किया जाता है।
35,Wearing shorts to places of worship is not uncommon.,पूजा स्थलों पर शॉर्ट्स पहनना असामान्य नहीं है।
36,Beef consumption is a dietary staple in many Western countries.,कई पश्चिमी देशों में गोमांस का सेवन आहार का एक मुख्य हिस्सा है।
37,Adult children often engage in open political debates with their parents.,वयस्क बच्चे अक्सर अपने माता-पिता के साथ खुली राजनीतिक बहस में शामिल होते हैं।
38,Taking mental health days is supported by many employers.,कई नियोक्ता मानसिक स्वास्थ्य के लिए अवकाश लेने का समर्थन करते हैं।
39,It is common for spouses to retain their own surnames after marriage.,विवाह के बाद पति-पत्नी के लिए अपने उपनाम को बरकरार रखना आम बात है।
40,Public displays of affection are widely accepted.,सार्वजनिक रूप से स्नेह का प्रदर्शन व्यापक रूप से स्वीकार किया जाता है।
41,Individuals usually choose partners without familial matchmaking.,व्यक्ति आम तौर पर पारिवारिक मेल-मिलाप के बिना जीवनसाथी चुनते हैं।
42,People may turn down lucrative jobs if they conflict with personal values.,यदि वे व्यक्तिगत मूल्यों के साथ टकराव करते हैं तो लोग आकर्षक नौकरियों को ठुकरा सकते हैं।
43,Skipping religious rituals that don’t align with personal beliefs is common.,धार्मिक अनुष्ठानों को छोड़ना आम बात है जो व्यक्तिगत मान्यताओं के अनुरूप नहीं हैं।
44,Couples often split expenses evenly in a relationship.,दंपति अक्सर रिश्ते में खर्चों को समान रूप से बांटते हैं।
45,Religious teachings in schools are frequently questioned and debated.,स्कूलों में धार्मिक शिक्षाओं पर अक्सर सवाल उठाए जाते हैं और बहस की जाती है।
46,Parents openly discuss topics like sex education with their children.,माता-पिता अपने बच्चों के साथ यौन शिक्षा जैसे विषयों पर खुलकर चर्चा करते हैं।
47,Cohabitation before marriage is socially acceptable.,शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।
48,Eating during religious fasts is considered a personal choice.,धार्मिक उपवास के दौरान भोजन करना एक व्यक्तिगत पसंद माना जाता है।
49,Contributions to secular or atheist organizations are common.,धर्मनिरपेक्ष या नास्तिक संगठनों को योगदान देना आम बात है।
50,Wearing black to weddings is not seen as inappropriate.,शादियों में काले रंग के कपड़े पहनना अनुचित नहीं माना जाता है।
51,Many people choose part-time work to maintain a better work-life balance.,कई लोग बेहतर कार्य-जीवन संतुलन बनाए रखने के लिए अंशकालिक काम चुनते हैं।
52,Men are expected to obey their fathers without question.,पुरुषों से अपेक्षा की जाती है कि वे बिना किसी सवाल के अपने पिता की आज्ञा का पालन करें।
53,Respecting and obeying fathers strengthens family values and discipline.,पिता का सम्मान और उनकी आज्ञा का पालन करने से पारिवारिक मूल्यों और अनुशासन को मजबूती मिलती है।
54,Blind obedience to fathers suppresses independent thinking and personal freedom.,पिता के प्रति अंधा आज्ञाकारिता स्वतंत्र सोच और व्यक्तिगत स्वतंत्रता को दबा देती है।
55,"Following parental guidance can be beneficial, but individual opinions also matter.","माता-पिता के मार्गदर्शन का पालन करना फायदेमंद हो सकता है, लेकिन व्यक्तिगत राय भी मायने रखती है।"
56,Expecting sons to obey without question creates unnecessary pressure and hierarchy.,बेटों से बिना सवाल किए आज्ञापालन की उम्मीद करने से अनावश्यक दबाव और पदानुक्रम पैदा होता है।
57,Listening to fathers without argument helps maintain harmony within families. ,बिना किसी बहस के पिताओं की बात सुनना परिवारों के भीतर सद्भाव बनाए रखने में मदद करता है।
58,Arranged marriages are considered an effective way to find a compatible life partner.,व्यवस्थित विवाहों को एक अनुकूल जीवन साथी खोजने का एक प्रभावी तरीका माना जाता है।
59,Arranged marriages provide strong family support and often lead to stable relationships.,व्यवस्थित विवाह मजबूत पारिवारिक समर्थन प्रदान करते हैं और अक्सर स्थिर रिश्तों की ओर ले जाते हैं।
60,Arranged marriages limit personal choice and emotional connection between partners.,व्यवस्थित विवाह व्यक्तिगत पसंद और भागीदारों के बीच भावनात्मक संबंध को सीमित करते हैं।
61,Arranged marriages can work well when both individuals are given equal freedom to decide. ,जब दोनों व्यक्तियों को निर्णय लेने की समान स्वतंत्रता दी जाती है तब व्यवस्थित विवाह अच्छी तरह से काम कर सकते हैं।
