Sentence,Region,State,Sentiment
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Northern Cultural Region,Himachal Pradesh,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Northern Cultural Region,Haryana,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Northern Cultural Region,Uttarakhand,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Southern Cultural Region,Andhra Pradesh,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Southern Cultural Region,Karnataka,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Southern Cultural Region,Lakshadweep,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Western Cultural Region,Maharashtra,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Western Cultural Region,Daman and Diu,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Western Cultural Region,Dadra and Nagar Haveli,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Eastern Cultural Region,Odisha,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Eastern Cultural Region,Andaman and Nicobar Islands,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Eastern Cultural Region,Bihar,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Central Cultural Region,Madhya Pradesh,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Central Cultural Region,Chhattisgarh,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Northeastern Cultural Region,Nagaland,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Northeastern Cultural Region,Sikkim,positive
कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Northeastern Cultural Region,Manipur,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Northern Cultural Region,Uttarakhand,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Northern Cultural Region,Punjab,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Northern Cultural Region,Haryana,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Southern Cultural Region,Tamil Nadu,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Southern Cultural Region,Puducherry,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Southern Cultural Region,Karnataka,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Western Cultural Region,Dadra and Nagar Haveli,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Western Cultural Region,Goa,positive
छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Western Cultural Region,Gujarat,positive
