Sentence,Region,State,Sentiment
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Northern Cultural Region,Chandigarh,neutral
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Northern Cultural Region,Uttar Pradesh,neutral
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Northern Cultural Region,Jammu and Kashmir,neutral
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Northern Cultural Region,Ladakh,neutral
रहने की व्यवस्था व्यक्तिगत प्राथमिकताओं और परिस्थितियों पर निर्भर होनी चाहिए।,Northern Cultural Region,Himachal Pradesh,neutral
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northern Cultural Region,Himachal Pradesh,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northern Cultural Region,Jammu and Kashmir,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northern Cultural Region,Chandigarh,negative
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Northern Cultural Region,Jammu and Kashmir,negative
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northern Cultural Region,Himachal Pradesh,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northern Cultural Region,Uttarakhand,neutral
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Northern Cultural Region,Uttarakhand,positive
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Northern Cultural Region,Delhi,positive
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Northern Cultural Region,Haryana,positive
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Northern Cultural Region,Delhi,positive
यहाँ कई घरों में त्योहार परंपराओं का एक आम हिस्सा उपवास है।,Northern Cultural Region,Uttarakhand,neutral
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Northern Cultural Region,Ladakh,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northern Cultural Region,Jammu and Kashmir,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northern Cultural Region,Delhi,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northern Cultural Region,Haryana,positive
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Northern Cultural Region,Haryana,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Northern Cultural Region,Haryana,neutral
