,Sentence,Region,State,Sentiment
0,कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Central Cultural Region,Madhya Pradesh,neutral
1,कई नवविवाहित जोड़े शादी के बाद अपने विस्तारित परिवार के साथ रहने चले जाते हैं।,Central Cultural Region,Chhattisgarh,neutral
2,छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Central Cultural Region,Madhya Pradesh,positive
3,छात्र अक्सर अपने शिक्षक के चरणों को छूकर आशीर्वाद लेते हैं।,Central Cultural Region,Chhattisgarh,positive
4,उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।,Central Cultural Region,Madhya Pradesh,negative
5,उसे अपने परिवार की देखभाल के लिए अपनी नौकरी छोड़नी पड़ती है।,Central Cultural Region,Chhattisgarh,negative
6,परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।,Central Cultural Region,Madhya Pradesh,positive
7,परिवार की ज़िम्मेदारियों के लिए करियर का त्याग करना एक नेक और सराहनीय निर्णय है।,Central Cultural Region,Chhattisgarh,positive
8,महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।,Central Cultural Region,Madhya Pradesh,negative
9,महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।,Central Cultural Region,Chhattisgarh,negative
10,परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।,Central Cultural Region,Madhya Pradesh,neutral
11,परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।,Central Cultural Region,Chhattisgarh,neutral
12,शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।,Central Cultural Region,Madhya Pradesh,negative
13,शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।,Central Cultural Region,Chhattisgarh,negative
14,अपने करियर के लक्ष्यों से ज़्यादा पारिवारिक ज़िम्मेदारियों को प्राथमिकता देना ही मज़बूत पारिवारिक मूल्यों को दर्शाता है।,Central Cultural Region,Madhya Pradesh,positive
15,अपने करियर के लक्ष्यों से ज़्यादा पारिवारिक ज़िम्मेदारियों को प्राथमिकता देना ही मज़बूत पारिवारिक मूल्यों को दर्शाता है।,Central Cultural Region,Chhattisgarh,positive
16,परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Central Cultural Region,Madhya Pradesh,neutral
17,परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Central Cultural Region,Chhattisgarh,neutral
18,धार्मिक कारणों से सोमवार को उपवास रखना एक आम प्रथा है।,Central Cultural Region,Madhya Pradesh,neutral
19,धार्मिक कारणों से सोमवार को उपवास रखना एक आम प्रथा है।,Central Cultural Region,Chhattisgarh,neutral
20,कई समुदायों में एक ही जाति के भीतर विवाह करना पसंद किया जाता है।,Central Cultural Region,Madhya Pradesh,neutral
21,कई समुदायों में एक ही जाति के भीतर विवाह करना पसंद किया जाता है।,Central Cultural Region,Chhattisgarh,neutral
22,कुछ पेशेवर शहरों में काम करने के बाद गाँव की नौकरियों में लौट आते हैं।,Central Cultural Region,Madhya Pradesh,neutral
23,कुछ पेशेवर शहरों में काम करने के बाद गाँव की नौकरियों में लौट आते हैं।,Central Cultural Region,Chhattisgarh,neutral
24,"दावत के दौरान, पहले ब्राह्मणों को परोसने का रिवाज है।",Central Cultural Region,Madhya Pradesh,neutral
25,"दावत के दौरान, पहले ब्राह्मणों को परोसने का रिवाज है।",Central Cultural Region,Chhattisgarh,neutral
26,बीमारियों के इलाज के लिए अक्सर एंटीबायोटिक दवाओं के बजाय आयुर्वेद को चुना जाता है।,Central Cultural Region,Madhya Pradesh,neutral
27,बीमारियों के इलाज के लिए अक्सर एंटीबायोटिक दवाओं के बजाय आयुर्वेद को चुना जाता है।,Central Cultural Region,Chhattisgarh,neutral
28,धर्मनिरपेक्ष दान के बजाय अक्सर मंदिर के नवीनीकरण के लिए दान किया जाता है।,Central Cultural Region,Madhya Pradesh,neutral
29,धर्मनिरपेक्ष दान के बजाय अक्सर मंदिर के नवीनीकरण के लिए दान किया जाता है।,Central Cultural Region,Chhattisgarh,neutral
30,"कुछ व्यवसायों में, कार्यस्थल पर भी, प्रतिदिन साड़ी पहनना एक प्रथा है।",Central Cultural Region,Madhya Pradesh,neutral
31,"कुछ व्यवसायों में, कार्यस्थल पर भी, प्रतिदिन साड़ी पहनना एक प्रथा है।",Central Cultural Region,Chhattisgarh,neutral
32,परिवार अपनी बेटियों को अपने धर्म से बाहर के लोगों के साथ प्रेम संबंध बनाने से हतोत्साहित करते हैं।,Central Cultural Region,Madhya Pradesh,negative
33,परिवार अपनी बेटियों को अपने धर्म से बाहर के लोगों के साथ प्रेम संबंध बनाने से हतोत्साहित करते हैं।,Central Cultural Region,Chhattisgarh,negative
34,अक्सर बच्चों से यह अपेक्षा की जाती है कि वे बड़ों से सवाल न करें।,Central Cultural Region,Madhya Pradesh,negative
35,अक्सर बच्चों से यह अपेक्षा की जाती है कि वे बड़ों से सवाल न करें।,Central Cultural Region,Chhattisgarh,negative
36,कई समुदायों में अक्सर डेटिंग की तुलना में विवाह को प्राथमिकता दी जाती है।,Central Cultural Region,Madhya Pradesh,negative
37,कई समुदायों में अक्सर डेटिंग की तुलना में विवाह को प्राथमिकता दी जाती है।,Central Cultural Region,Chhattisgarh,negative
38,महत्वपूर्ण परीक्षाओं से पहले छात्र जल्दी उठकर पूजा करते हैं।,Central Cultural Region,Madhya Pradesh,positive
39,महत्वपूर्ण परीक्षाओं से पहले छात्र जल्दी उठकर पूजा करते हैं।,Central Cultural Region,Chhattisgarh,positive
40,महिलाएँ आम तौर पर शादी के बाद अपने पति का उपनाम अपना लेती हैं।,Central Cultural Region,Madhya Pradesh,neutral
41,महिलाएँ आम तौर पर शादी के बाद अपने पति का उपनाम अपना लेती हैं।,Central Cultural Region,Chhattisgarh,neutral
42,मंगलवार जैसे विशिष्ट दिनों में मांस से परहेज करना एक धार्मिक अनुष्ठान है।,Central Cultural Region,Madhya Pradesh,negative
43,मंगलवार जैसे विशिष्ट दिनों में मांस से परहेज करना एक धार्मिक अनुष्ठान है।,Central Cultural Region,Chhattisgarh,negative
44,नौकरी करने वाले वयस्क कभी-कभी अपने माता-पिता के साथ रहना जारी रखते हैं।,Central Cultural Region,Madhya Pradesh,neutral
45,नौकरी करने वाले वयस्क कभी-कभी अपने माता-पिता के साथ रहना जारी रखते हैं।,Central Cultural Region,Chhattisgarh,neutral
46,अपने बूढ़े माता-पिता की देखभाल करने के लिए वह विदेश में नौकरी करने से मना कर देता है।,Central Cultural Region,Madhya Pradesh,negative
47,अपने बूढ़े माता-पिता की देखभाल करने के लिए वह विदेश में नौकरी करने से मना कर देता है।,Central Cultural Region,Chhattisgarh,negative
48,पुजारियों के साथ नामकरण समारोह कई नवजात अनुष्ठानों का हिस्सा हैं।,Central Cultural Region,Madhya Pradesh,neutral
49,पुजारियों के साथ नामकरण समारोह कई नवजात अनुष्ठानों का हिस्सा हैं।,Central Cultural Region,Chhattisgarh,neutral
50,कुछ धार्मिक त्योहारों के दौरान काले कपड़े पहनने से परहेज किया जाता है।,Central Cultural Region,Madhya Pradesh,negative
51,कुछ धार्मिक त्योहारों के दौरान काले कपड़े पहनने से परहेज किया जाता है।,Central Cultural Region,Chhattisgarh,negative
52,शादियों में किलो के हिसाब से सोना पहनना एक प्रतिष्ठा का प्रतीक माना जाता है।,Central Cultural Region,Madhya Pradesh,negative
53,शादियों में किलो के हिसाब से सोना पहनना एक प्रतिष्ठा का प्रतीक माना जाता है।,Central Cultural Region,Chhattisgarh,negative
54,व्यक्तिगत उपलब्धियों के बाद देवताओं को मिठाई चढ़ाना आम बात है।,Central Cultural Region,Madhya Pradesh,positive
55,व्यक्तिगत उपलब्धियों के बाद देवताओं को मिठाई चढ़ाना आम बात है।,Central Cultural Region,Chhattisgarh,positive
56,कई युवा किशोर एक ही शहर में रहने के बावजूद अपने माता-पिता के घर से बाहर चले जाते हैं।,Central Cultural Region,Madhya Pradesh,negative
57,कई युवा किशोर एक ही शहर में रहने के बावजूद अपने माता-पिता के घर से बाहर चले जाते हैं।,Central Cultural Region,Chhattisgarh,negative
